"","Revenue.AUD.","cluster"
"1161",163.64,3
"1162",87.57,3
"1163",125.1,3
"1164",59.05,3
"1165",72.64,3
"1166",77.23,3
"1167",127.27,3
"1168",88.55,3
"1169",80.82,3
"1170",47.25,3
"1171",72.69,3
"1172",108.14,3
"1173",72.64,3
"1174",146.4,3
"1175",318.07,1
"1176",109.05,3
"1177",245.41,1
"1178",53.32,3
"1179",98.33,3
"1180",181.82,1
"1181",153.32,3
"1182",63.61,3
"1183",54.5,3
"1184",62.73,3
"1185",507.63,1
"1186",765.68,2
"1187",104.53,3
"1188",54.5,3
"1189",90.91,3
"1190",0,3
"1191",307.9,1
"1192",162.68,3
"1193",90,3
"1194",181.73,1
"1195",59.05,3
"1196",109.05,3
"1197",271.53,1
"1198",54.5,3
"1199",99.92,3
"1200",163.52,3
"1201",163.5,3
"1202",136.27,3
"1203",86.32,3
"1204",140,3
"1205",126.3,3
"1206",184.74,1
"1207",180.19,1
"1208",72.72,3
"1209",273.55,1
"1210",90.86,3
"1211",118.14,3
"1212",80.23,3
"1213",185.58,1
"1214",54.49,3
"1215",44.73,3
"1216",299.09,1
"1217",102.59,3
"1218",117.21,3
"1219",72.68,3
"1220",86.35,3
"1221",71.82,3
"1222",109.05,3
"1223",48.91,3
"1224",28.86,3
"1225",90,3
"1226",423.92,1
"1227",86.27,3
"1228",74.95,3
"1229",97.18,3
"1230",126.27,3
"1231",95.39,3
"1232",109.03,3
"1233",68.14,3
"1234",106.26,3
"1235",81.75,3
"1236",146.76,3
"1237",143.18,3
"1238",209.88,1
"1239",184.87,1
"1240",136.35,3
"1241",49.99,3
"1242",84.03,3
"1243",74.78,3
"1244",72.68,3
"1245",68.14,3
"1246",135.41,3
"1247",49,3
"1248",52.64,3
"1249",64.96,3
"1250",272.68,1
"1251",145.36,3
"1252",271.55,1
"1253",208.64,1
"1254",21.96,3
"1255",122.68,3
"1256",122.68,3
"1257",26.37,3
"1258",73.59,3
"1259",73.59,3
"1260",135.45,3
"1261",98.18,3
"1262",56.78,3
"1263",0,3
"1264",19.7,3
"1265",63.59,3
"1266",79.96,3
"1267",145.4,3
"1268",245.41,1
"1269",176.68,3
"1270",179.91,1
"1271",181.77,1
"1272",113.59,3
"1273",72.69,3
"1274",168.12,3
"1275",63.55,3
"1276",73.59,3
"1277",118.12,3
"1278",136.27,3
"1279",129.96,3
"1280",73.59,3
"1281",227.27,1
"1282",81.77,3
"1283",144.5,3
"1284",218.18,1
"1285",96.29,3
"1286",31.08,3
"1287",50,3
"1288",86.15,3
"1289",111.27,3
"1290",86.35,3
"1291",96.32,3
"1292",108.18,3
"1293",130,3
"1294",263.58,1
"1295",61.45,3
"1296",200,1
"1297",109.09,3
"1298",274.72,1
"1299",68.14,3
"1300",54.5,3
"1301",72.68,3
"1302",135.45,3
"1303",81.27,3
"1304",26.35,3
"1305",81.77,3
"1306",222.64,1
"1307",68.95,3
"1308",125.41,3
"1309",309.08,1
"1310",227.16,1
"1311",104.55,3
"1312",172.59,3
"1313",72,3
"1314",154.55,3
"1315",35.45,3
"1316",490.18,1
"1317",81.77,3
"1318",26.51,3
"1319",92.65,3
"1320",208.55,1
"1321",158.59,3
"1322",109,3
"1323",262.63,1
"1324",59.06,3
"1325",72.68,3
"1326",181.64,1
"1327",85.38,3
"1328",136.35,3
"1329",58.18,3
"1330",277.27,1
"1331",117.19,3
"1332",88.61,3
"1333",435.64,1
"1334",87.24,3
"1335",130.15,3
"1336",76.32,3
"1337",237.14,1
"1338",328.88,1
"1339",95.43,3
"1340",63.14,3
"1341",130.84,3
"1342",98.14,3
"1343",92.66,3
"1344",68.12,3
"1345",81.1,3
"1346",72.69,3
"1347",58.15,3
"1348",126.23,3
"1349",148.98,3
"1350",177.22,1
"1351",70.42,3
"1352",90.55,3
"1353",31.05,3
"1354",495.35,1
"1355",63.59,3
"1356",79.91,3
"1357",156.68,3
"1358",81.73,3
"1359",48.55,3
"1360",35.6,3
"1361",109.41,3
"1362",158.16,3
"1363",212.5,1
"1364",68.14,3
"1365",26.33,3
"1366",63.59,3
"1367",109.05,3
"1368",35.6,3
"1369",54.5,3
"1370",16.89,3
"1371",67.21,3
"1372",103.55,3
"1373",181.77,1
"1374",118.14,3
"1375",153.54,3
"1376",108.04,3
"1377",265.4,1
"1378",76.27,3
"1379",30.9,3
"1380",48.55,3
"1381",825.35,2
"1382",63.59,3
"1383",77.18,3
"1384",202.27,1
"1385",341.76,1
"1386",72.73,3
"1387",590,2
"1388",81.77,3
"1389",44.69,3
"1390",108.37,3
"1391",363.64,1
"1392",26.33,3
"1393",285.58,1
"1394",80.91,3
"1395",208.18,1
"1396",96.09,3
"1397",305.14,1
"1398",95.4,3
"1399",49.95,3
"1400",90.91,3
"1401",227.68,1
"1402",65.41,3
"1403",58.14,3
"1404",213.59,1
"1405",327.14,1
"1406",72.68,3
"1407",90.82,3
"1408",123.55,3
"1409",144.55,3
"1410",221,1
"1411",54.54,3
"1412",78.1,3
"1413",107.91,3
"1414",35.64,3
"1415",164.54,3
"1416",60.81,3
"1417",144.07,3
"1418",76.37,3
"1419",81.75,3
"1420",244.54,1
"1421",54.5,3
"1422",190.77,1
"1423",319.09,1
"1424",136.23,3
"1425",171.82,3
"1426",54.5,3
"1427",235.45,1
"1428",101.82,3
"1429",118.14,3
"1430",109.05,3
"1431",349.99,1
"1432",278.6,1
"1433",72.65,3
"1434",42.19,3
"1435",54.5,3
"1436",1265.35,2
"1437",106.36,3
"1438",72.68,3
"1439",72.69,3
"1440",86.36,3
"1441",169.23,3
"1442",59.09,3
"1443",30.9,3
"1444",35.6,3
"1445",408.86,1
"1446",126,3
"1447",70.9,3
"1448",99.95,3
"1449",63.59,3
"1450",113.17,3
"1451",44.26,3
"1452",0,3
"1453",154.43,3
"1454",177.13,1
"1455",45.45,3
"1456",0,3
"1457",274.73,1
"1458",32.28,3
"1459",104.46,3
"1460",66.28,3
"1461",35.6,3
"1462",47.73,3
"1463",39.26,3
"1464",31.51,3
"1465",384.68,1
"1466",110.91,3
"1467",208.18,1
"1468",81.77,3
"1469",242.82,1
"1470",54.51,3
"1471",52.14,3
"1472",497.86,1
"1473",139.06,3
"1474",208.99,1
"1475",54.46,3
"1476",59.09,3
"1477",49.98,3
"1478",73.64,3
"1479",251.82,1
"1480",181.82,1
"1481",63.55,3
"1482",90.86,3
"1483",63.59,3
"1484",54.49,3
"1485",170,3
"1486",58.17,3
"1487",63.6,3
"1488",81.04,3
"1489",63.59,3
"1490",59.07,3
"1491",225.2,1
"1492",93.59,3
"1493",263.54,1
"1494",154.41,3
"1495",59.09,3
"1496",214.2,1
"1497",140.35,3
"1498",52.94,3
"1499",614.27,2
"1500",90.91,3
"1501",37.25,3
"1502",208.32,1
"1503",130.18,3
"1504",50,3
"1505",24.23,3
